公司名称,公司编码,公司类型
智通物流,ztong,国内运输商
中铁物流供应链,ztwlgyl,国内运输商
泰实货运,tjkjwl,国内运输商
全球快运,abcglobal,国际运输商
友家速递,youjia,国内运输商
递四方美国,disifangus,国际运输商
MyHermes,myhermes,国际运输商
速呈,sczpds,国内运输商
越南EMS(VNPost Express),vnpost,国际邮政
中环转运,zhonghuanus,国际运输商
中汲物流,zhongji,国内运输商
小飞侠速递,cyxfx,国内运输商
递五方云仓,di5pll,国内运输商
龙兴物流,lx56,国内运输商
哪吒速运,nezhasuyun,国内运输商
新加坡EMS、大包(Singapore Speedpost),speedpost,国际邮政
突尼斯EMS(Rapid-Poste),tunisia,国际邮政
广博物流,wxgbwl,国内运输商
AOL澳通速递,aolau,国际运输商
安世通快递,astexpress,国内运输商
大韩通运,cjkoreaexpress,国内运输商
希腊EMS（ELTA Courier）,eltahell,国际邮政
澳州顺风快递,emms,国际运输商
南非EMS,emssouthafrica,国际邮政
乌克兰EMS-中文(EMS Ukraine),emsukrainecn,国际邮政
飞鹰物流,hnfy,国内运输商
J&T Express 菲律宾,jtexpressph,国际运输商
阿塞拜疆EMS(EMS AzerExpressPost),azerbaijan,国际邮政
Toll,dpexen,国际运输商
DYB,dybservice,国内运输商
高考通知书,emsluqu,国内运输商
乌克兰EMS(EMS Ukraine),emsukraine,国际邮政
飞快达,feikuaida,国内运输商
老扬州物流,tjlyz56,国内运输商
翔宇物流,xiangyuwl56,国内运输商
宇航通物流,yhtlogistics,国内运输商
YODEL,yodel,国际运输商
360 Lion Express,360lion,国际运输商
ABF,abf,国际运输商
华中快递,cpsair,国内运输商
德国(Deutsche Post),deutschepost,国际邮政
达方物流,dfpost,国内运输商
海欣斯快递,highsince,国际运输商
久久物流,jiujiuwl,国内运输商
韩国邮政韩文,koreapostkr,国际邮政
圣安物流,shenganwuliu,国内运输商
GPI,tcxbthai,国际运输商
飞腾物流,ft56,国内运输商
韩国（Korea Post）,koreapost,国际邮政
中安物流,zhonganhuoyun,国内运输商
aCommerce,acommerce,国际运输商
中欧物流,cneulogistics,国内运输商
大洋物流,dayangwuliu,国内运输商
DPD Poland,dpdpoland,国际运输商
欧亚专线,euasia,国际运输商
海带宝,haidaibao,国际运输商
美泰物流,meitai,国内运输商
爱尔兰(An Post),anposten,国际邮政
DHL Benelux,dhlbenelux,国际运输商
环球速运,huanqiu,国际运输商
"马来西亚大包、EMS（Malaysia Post(parcel,EMS)）",malaysiaems,国际邮政
迅选物流,xunxuan,国内运输商
云达通,ydglobe,国内运输商
中宏物流,zhonghongwl,国内运输商
AAA Cooper Transportation,aaacooper,国际运输商
明大快递,adaexpress,国内运输商
安达易国际速递,adiexpress,国际运输商
皇家云仓,hotwms,国内运输商
成都立即送,lijisong,国内运输商
星云速递,nebuex,国内运输商
荷兰邮政-中文(PostNL international registered mail),postnlcn,国际邮政
全速物流,quansu,国内运输商
上大物流,shangda,国内运输商
林道国际快递,shlindao,国际运输商
新速航,sunspeedy,国内运输商
新宁物流,xinning,国内运输商
武汉优进汇,yjhgo,国内运输商
ACS Courier,acscourier,国际运输商
比利时(Belgium Post),belgiumpost,国际邮政
银雁专送,cfss,国内运输商
卓志速运,chinaicip,国内运输商
Fastway Ireland,fastway,国际运输商
GTS快递,gts,国际运输商
景顺物流,jingshun,国内运输商
J&T Express 马来西亚,jtexpressmy,国际运输商
嘉里大荣物流,kerrytj,国内运输商
林道国际快递-英文,ldxpres,国际运输商
卢森堡(Luxembourg Post),luxembourg,国际邮政
全日通,quanritongkuaidi,国内运输商
飞洋快递,shipgce,国际运输商
双鹤物流,shuanghe,国内运输商
天辰物流,tianchenwuliu,国内运输商
运通快运,ytky168,国内运输商
AlfaTrex,alfatrex,国际运输商
波兰小包(Poczta Polska),emonitoring,国际运输商
高捷快运,goldjet,国内运输商
黑豹物流,heibaowuliu,国内运输商
龙行天下,pmt0704be,国内运输商
丹麦(Post Denmark),postdanmarken,国际邮政
Purolator,purolator,国际运输商
全际通,quanjitong,国内运输商
闪货极速达,shanhuodidi,国内运输商
洋口岸,ykouan,国际运输商
远航国际快运,yuanhhk,国际运输商
智谷特货,zhiguil,国内运输商
ADP国际快递,adp,国际运输商
飞豹快递,feibaokuaidi,国内运输商
丰羿,fengyee,国内运输商
番薯国际货运,koali,国际运输商
6LS EXPRESS,lsexpress,国际运输商
美西快递,meixi,国际运输商
新西兰（New Zealand Post）,newzealand,国际邮政
葡萄牙（Portugal CTT）,portugalctt,国际运输商
7E速递,qesd,国际运输商
SiCepat Ekspres,sicepat,国际运输商
中外运速递-中文,sinoex,国际运输商
通胜物流,tongshengwj,国内运输商
ABS courier & freight system,abs,国际运输商
上海缤纷物流,bflg,国内运输商
哥斯达黎加(Correos de Costa Rica),correos,国际邮政
dhl小包,dhlecommerce,国际运输商
DHL-荷兰（DHL Netherlands）,dhlnetherlands,国际运输商
恒瑞物流,hengrui56,国内运输商
汇霖大货网,huilin56,国内运输商
Italy SDA,italysad,国际运输商
Landmark Global,landmarkglobal,国际运输商
lotteglogis,lotteglogis,国际运输商
速风快递,sufengkuaidi,国内运输商
远辉物流,wxyuanhui,国内运输商
亚风速递,yafengsudi,国内运输商
德国雄鹰速递,adlerlogi,国际运输商
ADSone,adsone,国际运输商
奥地利(Austrian Post),austria,国际邮政
八达通,bdatong,国内运输商
CHS中环国际快递,chszhonghuanguoji,国际运输商
DFGL,dflogis,国内运输商
dhluk,dhluk,国内运输商
logen路坚,ilogen,国际运输商
佳豪鑫物流,jhx56,国内运输商
急先达,jixianda,国内运输商
联邦快递-英文,lianbangkuaidien,国内运输商
Linex,linex,国际运输商
Ninja Van ,ninjavan,国际运输商
Quantium,quantium,国际运输商
顺通快递,stkd,国内运输商
速通鸿达,sutonghongda,国内运输商
泰国邮政（Thailand Thai Post）,thailand,国际邮政
五六快运,wuliuky,国内运输商
鑫宏福物流,xhf56,国内运输商
西邮寄速递,xyjexpress,国内运输商
浩运物流,zbhy56,国内运输商
准实快运,zsky123,国内运输商
青云物流,bjqywl,国内运输商
城通物流,chengtong,国内运输商
东方汇,est365,国内运输商
共速达,gongsuda,国内运输商
天天快物流,guoeryue,国内运输商
海联快递,hltop,国内运输商
KCS,kcs,国际运输商
快达物流,kuaidawuliu,国内运输商
龙枫国际快递,lfexpress,国际运输商
魔速达,mosuda,国内运输商
穗佳物流,suijiawuliu,国内运输商
UEQ快递,ueq,国际运输商
一辉物流,yatfai,国内运输商
西安运逸快递,yyexp,国内运输商
明辉物流,zsmhwl,国内运输商
ZTE中兴物流,zteexpress,国际运输商
阿富汗(Afghan Post),afghan,国际邮政
Asendia USA,asendiausa,国际运输商
报通快递,baoxianda,国内运输商
BHT,bht,国际运输商
比利时国际(Bpost international),bpostinter,国际邮政
CEVA Logistics,ceva,国际运输商
递达速运,didasuyun,国内运输商
EASY EXPRESS,easyexpress,国际运输商
FedRoad 联邦转运,fedroad,国际运输商
国送快运,guosong,国内运输商
中国香港(HongKong Post)英文,hkposten,国际邮政
大达物流,idada,国内运输商
華信物流WTO,logistics,国际运输商
联通快递,ltparcel,国际运输商
吉捷国际速递,luckyfastex,国际运输商
浩博物流,njhaobo,国内运输商
荷兰包裹(PostNL International Parcels),postnlpacle,国际邮政
日昱物流,riyuwuliu,国内运输商
瑞典（Sweden Post）,ruidianyouzheng,国际邮政
赛澳递for买卖宝,saiaodimmb,国际运输商
速品快递,supinexpress,国内运输商
"兴鹏物流	",szxpwl,国内运输商
乌克兰邮政包裹,ukrpostcn,国际邮政
维普恩物流,vps,国内运输商
豌豆物流,wandougongzhu,国内运输商
美国云达,yundaexus,国际运输商
中天万运,zhongtianwanyun,国内运输商
德方物流,ahdf,国内运输商
加拿大民航快递,airgtc,国际运输商
亚马逊中国订单,amazoncnorder,国际运输商
新干线快递,anlexpress,国内运输商
阿森迪亚,asendia,国际运输商
上海生生物流,ashsh,国内运输商
邦送物流,bangsongwuliu,国内运输商
白俄罗斯(Belpochta),belpost,国际运输商
百通物流,buytong,国内运输商
City-Link,citylink,国际运输商
CNPEX中邮快递,cnpex,国际运输商
Couriers Please,couriersplease,国际运输商
东风全球速递,dfglobalex,国内运输商
云南滇驿物流,dianyi,国内运输商
东瀚物流,donghanwl,国内运输商
龙象国际物流,edragon,国际运输商
飞康达,feikangda,国内运输商
Flash Express-英文,flashexpressen,国际运输商
冠达丰物流,gfdwuliu,国内运输商
黑猫速运,heimao56,国内运输商
华光国际快运,hkhuaguang,国内运输商
宏品物流,hongpinwuliu,国内运输商
加州猫速递,jiazhoumao,国内运输商
捷安达,jieanda,国内运输商
锦程物流,jinchengwuliu,国内运输商
时达通,jssdt56,国内运输商
聚鼎物流,juding,国内运输商
快速递,ksudi,国内运输商
良藤国际速递,lmfex,国际运输商
猛犸速递,mmlogi,国际运输商
秘鲁(SERPOST),peru,国际邮政
菲律宾（Philippine Postal）,phlpost,国际邮政
PostNord Logistics,postnord,国际运输商
全川摩运,quanchuan56,国内运输商
世运快递,shiyunkuaidi,国内运输商
新加坡小包(Singapore Post),singpost,国际邮政
文捷航空,wenjiesudi,国际运输商
蓝天物流,xflt56,国内运输商
新颜物流,xinyan,国内运输商
鑫圣邦物流,xsb56,国内运输商
亿德隆物流,ydl56,国内运输商
易达通,yidatong,国内运输商
宜送物流,yiex,国内运输商
越丰物流,yuefengwuliu,国内运输商
一站通速运,yztex,国内运输商
志腾物流,zhitengwuliu,国内运输商
阿尔巴尼亚(Posta shqipatre),albania,国际邮政
安家同城快运,anjiatongcheng,国内运输商
安时递,anshidi,国内运输商
澳货通,auex,国际运输商
蜜蜂速递,bee001,国内运输商
远通盛源,bjytsywl,国内运输商
巴西(Brazil Post/Correios),brazilposten,国际邮政
文莱(Brunei Postal),brunei,国际邮政
彩丰物流,caifengwl,国内运输商
加拿大邮政,canpostfr,国际邮政
捷祥物流,cdjx56,国内运输商
创一快递,chuangyi,国内运输商
CK物流,ckexpress,国内运输商
中澳速递,cnausu,国际运输商
CNUP 中联邮,cnup,国际运输商
哥伦比亚(4-72 La Red Postal de Colombia),colombia,国际邮政
深圳德创物流,dechuangwuliu,国内运输商
叮咚快递,dingdong,国内运输商
易达快运,edaeuexpress,国内运输商
ETEEN专线,eteenlog,国内运输商
易邮国际,euguoji,国际运输商
E2G速递,express2global,国内运输商
凡宇快递,fanyukuaidi,国内运输商
芬兰(Itella Posti Oy),finland,国际邮政
GSM,gsm,国际运输商
上海航瑞货运,hangrui,国内运输商
汇捷物流,hjwl,国内运输商
好来运,hlyex,国内运输商
宏运发物流,hongyunfa56,国内运输商
环东物流,huandonglg,国内运输商
中国香港环球快运,huanqiuabc,国际运输商
华企快运,huaqikuaiyun,国内运输商
汇强快递,huiqiangkuaidi,国内运输商
爱拜物流,ibuy8,国际运输商
骏丰国际速递,junfengguoji,国际运输商
快服务,kfwnet,国内运输商
LUCFLOW EXPRESS,longfx,国内运输商
路邦物流,lubang56,国内运输商
路遥物流,luyao,国内运输商
南京合纵连横物流,njhzlh,国内运输商
华赫物流,nmhuahe,国内运输商
parcel2go,parcel2go,国际运输商
PostNord(Posten AB),postenab,国际邮政
荷兰邮政-中国件,postnlchina,国际邮政
急顺通,pzhjst,国内运输商
ANTS EXPRESS,qdants,国际运输商
雪域快递,qhxykd,国内运输商
千里速递,qianli,国内运输商
人人转运,renrenex,国内运输商
塞尔维亚(PE Post of Serbia),serbia,国际邮政
澳丰速递,sfau,国际运输商
盛通快递,shengtongscm,国内运输商
苏豪快递,shipsoho,国内运输商
嗖一下同城快递,sofast56,国内运输商
速速达,ssd,国内运输商
星速递,starex,国内运输商
Amazon FBA Swiship,swiship,国际运输商
通达物流,tarrive,国内运输商
USPSCN,uspscn,国际运输商
伍圆速递,wuyuansudi,国内运输商
易通达,yitongda,国内运输商
优胜国际速递,yoseus,国际运输商
雅澳物流,yourscm,国际运输商
玥玛速运,yue777,国内运输商
御风速运,yufeng,国内运输商
蕴国物流,yunguo56,国内运输商
珠峰速运,zf365,国内运输商
中快货运,zhongkuai,国内运输商
Agility Logistics,agility,国际运输商
澳捷物流,ajlogistics,国际运输商
ALLIED,alliedexpress,国际运输商
心怡物流,alog,国内运输商
安捷信物流,anjiexin56,国内运输商
艾瑞斯远,ariesfar,国内运输商
Austa国际速递,austa,国际运输商
澳台转运,autw,国际运输商
AUV国际快递,auvexpress,国际运输商
巴林(Bahrain Post),bahrain,国际邮政
BCWELT,bcwelt,国际运输商
不丹邮政 Bhutan Post,bhutan,国际邮政
BlueDart,bluedart,国际运输商
速方(Sufast),bphchina,国际运输商
百千诚物流,bqcwl,国内运输商
宏桥国际物流,briems,国内运输商
卢森堡航空,cargolux,国际运输商
广州信邦,cbllogistics,国内运输商
捷克（?eská po?ta）,ceskaposta,国际运输商
城际快递,chengji,国内运输商
程洋快递,chengyangex,国际运输商
智利(Correos Chile),chile,国际邮政
C&C国际速递,cncexp,国际运输商
DCS,dcs,国际运输商
德中快递,decnlh,国内运输商
德速电商物流,deksu,国内运输商
DHL HK,dhlhk,国际运输商
递四方澳洲,disifangau,国际运输商
东红物流,donghong,国内运输商
Dotzot,dotzot,国内运输商
东西E全运,ecotransite,国际运输商
Estes,estes,国际运输商
飛斯特運通,exbtr,国际运输商
可可树美中速运,excocotree,国内运输商
颿达国际快递-英文,fandaguoji,国际运输商
